pen,Age,Cohort,rep,Diet,Challenge,VL
B12,24,ctl_SE,V5,ctl,SE,611.560108
B12,24,ctl_SE,V6,ctl,SE,513.578013
B12,24,ctl_SE,V7,ctl,SE,629.014087
B12,24,ctl_SE,V8,ctl,SE,653.288973
B12,24,ctl_SE,V9,ctl,SE,633.620144
B12,24,ctl_SE,V10,ctl,SE,655.068584
B9,24,ctl_SE,V1,ctl,SE,734.974844
B9,24,ctl_SE,V2,ctl,SE,798.8573
B9,24,ctl_SE,V3,ctl,SE,553.792712
B9,24,ctl_SE,V4,ctl,SE,705.039065
B9,24,ctl_SE,V5,ctl,SE,744.358826
B9,24,ctl_SE,V6,ctl,SE,563.492918
B9,24,ctl_SE,V7,ctl,SE,704.410587
B9,24,ctl_SE,V8,ctl,SE,636.096769
B6,24,ctl_SE,V1,ctl,SE,580.913715
B6,24,ctl_SE,V2,ctl,SE,667.859991
B6,24,ctl_SE,V3,ctl,SE,657.293548
B6,24,ctl_SE,V4,ctl,SE,709.000226
B6,24,ctl_SE,V5,ctl,SE,732.610388
B6,24,ctl_SE,V6,ctl,SE,720.24443
B11,24,ctl_SE,V1,ctl,SE,698.596541
B11,24,ctl_SE,V2,ctl,SE,788.213974
B11,24,ctl_SE,V3,ctl,SE,750.146189
B11,24,ctl_SE,V4,ctl,SE,505.539132
B11,24,ctl_SE,V5,ctl,SE,706.383872
B11,24,ctl_SE,V6,ctl,SE,594.025552
B4,24,ctl_SE,V1,ctl,SE,659.371351
B4,24,ctl_SE,V2,ctl,SE,738.931384
B4,24,ctl_SE,V3,ctl,SE,656.042366
B4,24,ctl_SE,V4,ctl,SE,614.951567
B4,24,ctl_SE,V5,ctl,SE,627.31917
B10,24,ctl_SE,V1,ctl,SE,477.069913
B10,24,ctl_SE,V2,ctl,SE,567.085525
B10,24,ctl_SE,V3,ctl,SE,512.548433
B10,24,ctl_SE,V4,ctl,SE,855.771328
B10,24,ctl_SE,V5,ctl,SE,544.305184
B6,28,GOS_Mock,V1,GOS,Mock,812.240434
B6,28,GOS_Mock,V2,GOS,Mock,717.132866
B6,28,GOS_Mock,V3,GOS,Mock,667.837095
B6,28,GOS_Mock,V4,GOS,Mock,855.044969
B6,28,GOS_Mock,V5,GOS,Mock,608.688316
B4,28,GOS_Mock,V1,GOS,Mock,750.715915
B4,28,GOS_Mock,V2,GOS,Mock,803.921528
B4,28,GOS_Mock,V3,GOS,Mock,805.069679
B4,28,GOS_Mock,V4,GOS,Mock,678.94278
B5,28,GOS_Mock,V1,GOS,Mock,597.09601
B5,28,GOS_Mock,V2,GOS,Mock,543.285578
B5,28,GOS_Mock,V3,GOS,Mock,550.00906
B5,28,GOS_Mock,V4,GOS,Mock,699.086205
B7,28,GOS_Mock,V1,GOS,Mock,749.091221
B7,28,GOS_Mock,V2,GOS,Mock,592.056963
B7,28,GOS_Mock,V3,GOS,Mock,754.731751
B7,28,GOS_Mock,V4,GOS,Mock,761.124768
B9,28,GOS_Mock,V1,GOS,Mock,815.348889
B9,28,GOS_Mock,V2,GOS,Mock,512.734098
B9,28,GOS_Mock,V3,GOS,Mock,817.336986
B9,28,GOS_Mock,V4,GOS,Mock,813.899721
B10,28,GOS_Mock,V1,GOS,Mock,482.020688
B10,28,GOS_Mock,V2,GOS,Mock,694.505974
B10,28,GOS_Mock,V3,GOS,Mock,579.035249
B10,28,GOS_Mock,V4,GOS,Mock,610.725305
B3,28,GOS_Mock,V1,GOS,Mock,744.898916
B3,28,GOS_Mock,V2,GOS,Mock,663.33693
B3,28,GOS_Mock,V3,GOS,Mock,644.805
B3,28,GOS_SE,V1,GOS,SE,686.86974
B3,28,GOS_SE,V2,GOS,SE,466.020236
B3,28,GOS_SE,V3,GOS,SE,722.779815
B3,28,GOS_SE,V4,GOS,SE,686.288642
B3,28,GOS_SE,V5,GOS,SE,711.358776
B3,28,GOS_SE,V6,GOS,SE,701.967352
B3,28,GOS_SE,V7,GOS,SE,629.760749
B3,28,GOS_SE,V8,GOS,SE,608.395476
B3,28,GOS_SE,V9,GOS,SE,500.656443
B3,28,GOS_SE,V10,GOS,SE,761.767378
B4,28,GOS_SE,V1,GOS,SE,731.298992
B4,28,GOS_SE,V2,GOS,SE,675.642004
B4,28,GOS_SE,V3,GOS,SE,730.103774
B4,28,GOS_SE,V4,GOS,SE,642.756432
B4,28,GOS_SE,V5,GOS,SE,600.564464
B4,28,GOS_SE,V6,GOS,SE,524.84208
B4,28,GOS_SE,V7,GOS,SE,758.442154
B4,28,GOS_SE,V8,GOS,SE,540.164791
B4,28,GOS_SE,V9,GOS,SE,649.11852
B4,28,GOS_SE,V10,GOS,SE,695.358293
B6,28,GOS_SE,V1,GOS,SE,725.619172
B6,28,GOS_SE,V2,GOS,SE,746.606229
B6,28,GOS_SE,V3,GOS,SE,858.895712
B6,28,GOS_SE,V4,GOS,SE,792.364094
B6,28,GOS_SE,V5,GOS,SE,723.243488
B6,28,GOS_SE,V6,GOS,SE,664.090831
B6,28,GOS_SE,V7,GOS,SE,517.750187
B13,28,GOS_SE,V1,GOS,SE,754.829589
B13,28,GOS_SE,V2,GOS,SE,654.91013
B13,28,GOS_SE,V3,GOS,SE,681.248137
B13,28,GOS_SE,V4,GOS,SE,871.388732
B13,28,GOS_SE,V5,GOS,SE,717.398549
B13,28,GOS_SE,V6,GOS,SE,658.504561
B13,28,GOS_SE,V7,GOS,SE,748.973946
B14,28,GOS_SE,V1,GOS,SE,714.486284
B14,28,GOS_SE,V2,GOS,SE,876.118942
B14,28,GOS_SE,V3,GOS,SE,697.295199
B14,28,GOS_SE,V4,GOS,SE,825.56668
B14,28,GOS_SE,V5,GOS,SE,690.934733
B14,28,GOS_SE,V6,GOS,SE,661.380637
B1,28,GOS_SE,V1,GOS,SE,625.733898
B1,28,GOS_SE,V2,GOS,SE,602.796564
B1,28,GOS_SE,V3,GOS,SE,687.769309
B1,28,GOS_SE,V4,GOS,SE,663.712987
B1,28,GOS_SE,V5,GOS,SE,684.299426
B2,28,GOS_SE,V1,GOS,SE,657.751916
B2,28,GOS_SE,V2,GOS,SE,707.727029
B2,28,GOS_SE,V3,GOS,SE,645.676543
B2,28,GOS_SE,V4,GOS,SE,734.908406
B2,28,GOS_SE,V5,GOS,SE,786.313748
B3,28,ctl_Mock,V1,ctl,Mock,637.008117
B3,28,ctl_Mock,V2,ctl,Mock,637.094129
B3,28,ctl_Mock,V3,ctl,Mock,572.45709
B3,28,ctl_Mock,V4,ctl,Mock,683.336055
B3,28,ctl_Mock,V5,ctl,Mock,729.100168
B3,28,ctl_Mock,V6,ctl,Mock,778.333546
B3,28,ctl_Mock,V7,ctl,Mock,731.416957
B3,28,ctl_Mock,V8,ctl,Mock,635.940443
B3,28,ctl_Mock,V9,ctl,Mock,484.047474
B3,28,ctl_Mock,V10,ctl,Mock,672.253403
B6,28,ctl_Mock,V1,ctl,Mock,696.808297
B6,28,ctl_Mock,V2,ctl,Mock,700.717484
B6,28,ctl_Mock,V3,ctl,Mock,652.738576
B6,28,ctl_Mock,V4,ctl,Mock,819.485295
B6,28,ctl_Mock,V5,ctl,Mock,412.997832
B6,28,ctl_Mock,V6,ctl,Mock,684.59684
B6,28,ctl_Mock,V7,ctl,Mock,722.550913
B6,28,ctl_Mock,V8,ctl,Mock,519.834682
B6,28,ctl_Mock,V9,ctl,Mock,671.625771
B6,28,ctl_Mock,V10,ctl,Mock,630.911825
B9,28,ctl_Mock,V1,ctl,Mock,677.178015
B9,28,ctl_Mock,V2,ctl,Mock,641.804053
B9,28,ctl_Mock,V3,ctl,Mock,649.244605
B9,28,ctl_Mock,V4,ctl,Mock,741.25505
B9,28,ctl_Mock,V5,ctl,Mock,775.919088
B9,28,ctl_Mock,V6,ctl,Mock,700.608063
B9,28,ctl_Mock,V7,ctl,Mock,659.946694
B9,28,ctl_Mock,V8,ctl,Mock,607.653358
B9,28,ctl_Mock,V9,ctl,Mock,631.137339
B9,28,ctl_Mock,V10,ctl,Mock,683.197925
B10,28,ctl_Mock,V1,ctl,Mock,709.364218
B10,28,ctl_Mock,V2,ctl,Mock,690.513411
B10,28,ctl_Mock,V3,ctl,Mock,672.13863
B10,28,ctl_Mock,V4,ctl,Mock,691.792999
B10,28,ctl_Mock,V5,ctl,Mock,754.882437
B10,28,ctl_Mock,V6,ctl,Mock,741.80915
B10,28,ctl_Mock,V7,ctl,Mock,780.547799
B10,28,ctl_Mock,V8,ctl,Mock,722.225162
B10,28,ctl_Mock,V9,ctl,Mock,710.471706
B10,28,ctl_Mock,V10,ctl,Mock,583.379324
B1,28,ctl_Mock,V1,ctl,Mock,553.219852
B1,28,ctl_Mock,V2,ctl,Mock,608.362988
B1,28,ctl_Mock,V3,ctl,Mock,556.509523
B1,28,ctl_Mock,V4,ctl,Mock,534.176315
B1,28,ctl_Mock,V5,ctl,Mock,881.392607
B1,28,ctl_Mock,V6,ctl,Mock,661.680447
B1,28,ctl_Mock,V7,ctl,Mock,545.795098
B1,28,ctl_Mock,V8,ctl,Mock,551.819971
B5,28,ctl_Mock,V1,ctl,Mock,459.800089
B5,28,ctl_Mock,V2,ctl,Mock,580.031148
B5,28,ctl_Mock,V3,ctl,Mock,505.827265
B5,28,ctl_Mock,V4,ctl,Mock,447.166988
B5,28,ctl_Mock,V5,ctl,Mock,499.505493
B5,28,ctl_Mock,V6,ctl,Mock,484.508608
B5,28,ctl_Mock,V7,ctl,Mock,355.717462
B5,28,ctl_Mock,V8,ctl,Mock,565.619304
B4,28,ctl_Mock,V1,ctl,Mock,740.589041
B4,28,ctl_Mock,V2,ctl,Mock,794.406629
B4,28,ctl_Mock,V3,ctl,Mock,721.775371
B4,28,ctl_Mock,V4,ctl,Mock,664.05959
B4,28,ctl_Mock,V5,ctl,Mock,646.113968
B4,28,ctl_Mock,V6,ctl,Mock,476.110939
B4,28,ctl_Mock,V7,ctl,Mock,570.608169
B2,28,ctl_SE,V1,ctl,SE,734.03493
B2,28,ctl_SE,V2,ctl,SE,715.656035
B2,28,ctl_SE,V3,ctl,SE,813.374779
B2,28,ctl_SE,V4,ctl,SE,766.142011
B2,28,ctl_SE,V5,ctl,SE,738.931242
B2,28,ctl_SE,V6,ctl,SE,791.566188
B2,28,ctl_SE,V7,ctl,SE,633.275366
B2,28,ctl_SE,V8,ctl,SE,811.026377
B2,28,ctl_SE,V9,ctl,SE,819.207311
B2,28,ctl_SE,V10,ctl,SE,790.097136
B3,28,ctl_SE,V1,ctl,SE,543.238763
B3,28,ctl_SE,V2,ctl,SE,651.141154
B3,28,ctl_SE,V3,ctl,SE,695.843129
B3,28,ctl_SE,V4,ctl,SE,655.669636
B3,28,ctl_SE,V5,ctl,SE,614.902888
B3,28,ctl_SE,V6,ctl,SE,619.736804
B3,28,ctl_SE,V7,ctl,SE,674.664234
B3,28,ctl_SE,V8,ctl,SE,667.822515
B10,28,ctl_SE,V1,ctl,SE,847.574258
B10,28,ctl_SE,V2,ctl,SE,827.824657
B10,28,ctl_SE,V3,ctl,SE,770.831269
B10,28,ctl_SE,V4,ctl,SE,859.636123
B10,28,ctl_SE,V5,ctl,SE,841.763539
B10,28,ctl_SE,V6,ctl,SE,795.398766
B10,28,ctl_SE,V7,ctl,SE,759.339674
B10,28,ctl_SE,V8,ctl,SE,819.943181
B4,28,ctl_SE,V1,ctl,SE,794.926467
B4,28,ctl_SE,V2,ctl,SE,804.262219
B4,28,ctl_SE,V3,ctl,SE,651.080232
B4,28,ctl_SE,V4,ctl,SE,833.431481
B4,28,ctl_SE,V5,ctl,SE,860.50518
B4,28,ctl_SE,V6,ctl,SE,842.576651
B8,28,ctl_SE,V1,ctl,SE,633.402222
B8,28,ctl_SE,V2,ctl,SE,408.569691
B8,28,ctl_SE,V3,ctl,SE,532.163309
B8,28,ctl_SE,V4,ctl,SE,699.971978
B8,28,ctl_SE,V5,ctl,SE,399.58052
B8,28,ctl_SE,V6,ctl,SE,605.63366
B5,28,ctl_SE,V1,ctl,SE,802.231779
B5,28,ctl_SE,V2,ctl,SE,671.434289
B5,28,ctl_SE,V3,ctl,SE,597.026262
