pen,Age,Cohort,rep,Diet,Challenge,VL
B8,35,ctl_SE,V7,ctl,SE,675.680763
B14,35,ctl_SE,V1,ctl,SE,575.926839
B14,35,ctl_SE,V2,ctl,SE,603.05644
B14,35,ctl_SE,V3,ctl,SE,662.022605
B14,35,ctl_SE,V4,ctl,SE,656.750048
B14,35,ctl_SE,V5,ctl,SE,626.338574
B14,35,ctl_SE,V6,ctl,SE,510.426544
B14,35,ctl_SE,V7,ctl,SE,761.634193
B11,35,ctl_SE,V1,ctl,SE,677.68231
B11,35,ctl_SE,V2,ctl,SE,572.721881
B11,35,ctl_SE,V3,ctl,SE,714.409618
B11,35,ctl_SE,V4,ctl,SE,803.441272
